V0,dV,td1,td2,Machining Time mean,Tool Wear mean,Orbiting Time mean,Machining Time fit,Tool Wear fit,Orbiting Time fit,n
6.000000000003057465e+01,7.695928161843781368e+01,1.970491298287788959e+04,3.595713082305750868e+04,5.346710277795791910e+01,6.909999999999999432e+01,1.635285755395889140e+01,5.398686781110486521e+01,7.677902417761930565e+01,1.687445668587506020e+01,1.000000000000000000e+00
8.378392729934395788e+01,6.621607270065499051e+01,2.334098507899897231e+04,3.361518256848012243e+04,5.452822070916493402e+01,6.850000000000000000e+01,1.556119491259257082e+01,5.668235292900956068e+01,7.162763844969363447e+01,1.663847375492827396e+01,1.000000000000000000e+00
6.664433932476995892e+01,8.335566067523519962e+01,2.474163193667234373e+04,2.046338863864953964e+04,5.234932590723038004e+01,7.800000000000000000e+01,1.555954288244247508e+01,5.222400628209599915e+01,7.944801540303276965e+01,1.590253046821268335e+01,1.000000000000000000e+00
7.859049895815162756e+01,7.140950104184872771e+01,2.481196376051928019e+04,1.758188961625934098e+04,5.400045351982116415e+01,7.020000000000000284e+01,1.538704158465067628e+01,5.364227350540562611e+01,7.462390246179840858e+01,1.623597627035425717e+01,1.000000000000000000e+00
8.636373363444990048e+01,6.363626636554967320e+01,1.738681520608151914e+04,3.170841580987750785e+04,5.584415396716858737e+01,7.563333333333332575e+01,1.630822310315238255e+01,5.575745157005374608e+01,7.117449625420348980e+01,1.628314301640977391e+01,3.000000000000000000e+00
7.198301145857796257e+01,7.801698854142213690e+01,1.752657574913426288e+04,2.699108929290146989e+04,5.476355607112248691e+01,7.440000000000000568e+01,1.566522800525029524e+01,5.349518328691563340e+01,7.793208305253210710e+01,1.598184724904457177e+01,1.000000000000000000e+00
7.652873561460988583e+01,7.347126438535519810e+01,1.646186966429795575e+04,3.249701138279207589e+04,5.476206932862599785e+01,7.970000000000000284e+01,1.688664128383000573e+01,5.395396760734585939e+01,7.589924821378905051e+01,1.623687159278774672e+01,1.000000000000000000e+00
6.000000000001361400e+01,8.392457366429982812e+01,2.036088556773330856e+04,1.956091586109533091e+04,5.213835991621017740e+01,7.940000000000000568e+01,1.541049209833145106e+01,5.404249977215874878e+01,7.966280539076402079e+01,1.584358408905651849e+01,1.000000000000000000e+00
8.173570398521965785e+01,6.826429604411210050e+01,2.531860469435150299e+04,1.435154643509182279e+04,5.411164960861206197e+01,7.390000000000000568e+01,1.608649437427520823e+01,5.422813207778371236e+01,7.284170996720141034e+01,1.605160915312443848e+01,1.000000000000000000e+00
7.031336791734656799e+01,7.968663208265350306e+01,2.484103184427757151e+04,2.496964209865855446e+04,5.204456470807393487e+01,8.170000000000000284e+01,1.572601945400237966e+01,5.197243780126372314e+01,7.823935248999144676e+01,1.620589101039352187e+01,1.000000000000000000e+00
7.353078765026991448e+01,7.646921234999081207e+01,1.687495874568212093e+04,2.795438949437921110e+04,5.366858596404393467e+01,7.959999999999999432e+01,1.592669998407363963e+01,5.429554852121952280e+01,7.732521355868415469e+01,1.604388505093178097e+01,1.000000000000000000e+00
6.841869890244053920e+01,8.158130109753489023e+01,1.738249127562220383e+04,3.659380037815051764e+04,5.255465268294016568e+01,8.679999999999999716e+01,1.558210136493047138e+01,5.293843382596773495e+01,7.839005233712087772e+01,1.595626769852953686e+01,1.000000000000000000e+00
7.493457916736784341e+01,7.506542083263154552e+01,1.940407619773999613e+04,2.186394098474612838e+04,5.389367593526839784e+01,8.093333333333333712e+01,1.602383760478761587e+01,5.539584072275428639e+01,7.683389567175977675e+01,1.606859603892898747e+01,3.000000000000000000e+00
7.938151586551764183e+01,7.061848413443615868e+01,1.769816931145117633e+04,2.956480053950098227e+04,5.435846326351165914e+01,7.850000000000000000e+01,1.542205406427383352e+01,5.488784131850885473e+01,7.452019492570150305e+01,1.626124980832215172e+01,1.000000000000000000e+00
6.000000000000000000e+01,8.070502827928547163e+01,1.636122045282203908e+04,2.880891915629170762e+04,5.242259342273076328e+01,7.940000000000000568e+01,1.608681280612945486e+01,5.371633155174188090e+01,7.849903976266976713e+01,1.611780816641677561e+01,1.000000000000000000e+00
8.505637867457195966e+01,6.494362132542796928e+01,2.414178639055253007e+04,2.169906647327374594e+04,5.469173885583877848e+01,7.159999999999999432e+01,1.582707220713297502e+01,5.610708212832683017e+01,7.093424470074026544e+01,1.614010310893551292e+01,1.000000000000000000e+00
8.742517565196762064e+01,6.257482434803237226e+01,2.452946375812186307e+04,2.884721308878359923e+04,5.475280632575353224e+01,7.190000000000000568e+01,1.797782532374064246e+01,5.481459191169633272e+01,6.979413248082381926e+01,1.638802840032794705e+01,1.000000000000000000e+00
8.271405040383126561e+01,6.728594959616884807e+01,2.084878756474401962e+04,3.003422174182309391e+04,5.414124446709950433e+01,7.040000000000000568e+01,1.593320144414901662e+01,5.486503352562606040e+01,7.243769017053267589e+01,1.640781014772415247e+01,1.000000000000000000e+00
6.000000000000000000e+01,7.908950284357010219e+01,1.959449480646724624e+04,3.656294065831718035e+04,5.268124313354492472e+01,7.540000000000000568e+01,1.592541740338007550e+01,5.283718038707603171e+01,7.749630669145437878e+01,1.655077098643223366e+01,1.000000000000000000e+00
6.000000000000095923e+01,7.782010057827793048e+01,1.892341686177891097e+04,2.055340616297967426e+04,5.319094008207321167e+01,8.050000000000000000e+01,1.599810177485148088e+01,5.320566313777575829e+01,7.792143553176185833e+01,1.655306004256487640e+01,1.000000000000000000e+00
6.432507574978228604e+01,8.200297153278634710e+01,2.264646213802498460e+04,3.039655820153293098e+04,5.212062774499257500e+01,8.320000000000000284e+01,1.557908818324406930e+01,5.236856771625946294e+01,7.868640186747549592e+01,1.616593055882181673e+01,1.000000000000000000e+00
